,ts,tx,ty,tz,rx,ry,rz,qx,qy,qz,qw,motor0,motor1
5615,1543539557.559656,0.06365984973907471,-0.26090209808349607,-0.12239255352020263,-0.4699065125673569,-0.08191104167932521,-1.7038819329778387,0.18314041197299957,-0.14882533252239227,0.7375466227531433,-0.6327206492424011,1093,5591
5616,1543539557.569656,0.06396828536987305,-0.26092251834869384,-0.1221516767501831,-0.4699036672214076,-0.08145586326844957,-1.7041388998600866,0.18295536935329437,-0.1489950567483902,0.7376000881195068,-0.6326719522476196,1093,5591
5617,1543539557.579627,0.06400649161338806,-0.260935841178894,-0.12210985517501831,-0.4700854513108868,-0.0811844818945607,-1.7047358222539866,0.18286995589733124,-0.14920446276664734,0.7377585768699646,-0.6324624419212341,1075,5607
5618,1543539557.589662,0.06405319418907165,-0.26092331771850585,-0.12202041053771973,-0.47048773070383415,-0.08218870426488512,-1.7050741713871287,0.18333610892295837,-0.14905916154384613,0.737897515296936,-0.6321997046470642,1075,5607
5619,1543539557.599624,0.06406691670417786,-0.2609004024505615,-0.12195406284332275,-0.4711383319653413,-0.08321819286994461,-1.7052779984830275,0.18389984965324402,-0.1489850878715515,0.7379767894744873,-0.6319608092308044,1075,5607
5620,1543539557.609655,0.06415201325416564,-0.26090175895690915,-0.12181106042861937,-0.4717404626634084,-0.08367831706488853,-1.705426115410178,0.18424588441848755,-0.14907215535640717,0.7380070090293884,-0.6318041682243347,1075,5607
5621,1543539557.619658,0.06445549521446228,-0.26090902595520016,-0.12156456384658813,-0.4715026737313775,-0.08277917397422926,-1.7051947948899,0.18386200070381165,-0.14925380051136017,0.7378963232040405,-0.6320024132728577,1075,5607
5622,1543539557.629656,0.0647323194026947,-0.2609195631027222,-0.1213310146331787,-0.4711115593875697,-0.08217482345624355,-1.7048781878156252,0.1835428774356842,-0.14927580952644348,0.7377881407737732,-0.6322161555290222,1075,5607
5623,1543539557.639628,0.06518562264442443,-0.26092072582244874,-0.12097120132446289,-0.47058546784267374,-0.08205988670205643,-1.7045489898938115,0.18335944414138794,-0.14908872544765472,0.7377162575721741,-0.632397472858429,1075,5607
5624,1543539557.649661,0.06543958001136779,-0.2608814840316772,-0.12081882448196411,-0.47032939395469353,-0.0820434592590782,-1.7043649179537537,0.18328623473644257,-0.1489827185869217,0.7376761436462402,-0.6324905157089233,1058,5607
5625,1543539557.659655,0.06553079295158386,-0.2609060464859009,-0.12065793313980103,-0.4704122859343509,-0.08185320909766655,-1.7046760168342412,0.1832202672958374,-0.1491033136844635,0.7377565503120422,-0.6323872804641724,1058,5607
5626,1543539557.669664,0.06568388438224793,-0.2608959211349487,-0.12059537639617919,-0.47068701150978026,-0.08122950606037815,-1.7045580987140396,0.18308979272842407,-0.14939554035663605,0.73766028881073,-0.6324684619903564,1058,5607
5627,1543539557.679633,0.06569496655464171,-0.26091336193084713,-0.12050063896179199,-0.4709181523617669,-0.08106090788274792,-1.704394144729983,0.18311400711536407,-0.14952029287815094,0.7375807166099548,-0.6325247287750244,1058,5607
